Strain Name,Gmoney,House,Smit,TPain,Total Wt,Total Wt (oz)
616,,,191.4,372.5,563.9,19.890987160909244
Abazaba #1 FC,,,93.0,85.6,178.6,6.299929609750649
Abazaba #2 ,28.3,,62.5,115.0,205.8,7.2593813756253285
Abazaba #3,,,86.5,110.0,196.5,6.931333529204942
Afgan Kush,,,126.5,,126.5,4.462156190556871
Alien Rock Candy,,,88.3,104.0,192.3,6.783182888886057
Big Apple #2 (Matt),,,75.5,,75.5,2.6631841295418477
Big Apple Butter #1,,,,67.5,67.5,2.380992433696354
Blackberry Kush,,,231.0,,231.0,8.148285217538634
ButterFace #1 (Matt),,,39.0,,39.0,1.3756845172467822
ButterFace #1 FC,,,103.60000000000001,31.5,135.10000000000002,4.765512263590777
ButterFace #2 (Matt),,,56.0,,56.0,1.9753418709184565
ButterFace #2 FC,,,103.2,108.0,211.2,7.4498607703210356
ButterFace #3 (FC house),,,116.5,124.0,240.5,8.483387856355158
ButterFace #3 (Matt),,,,50.7,50.7,1.788389872420817
ButterFace #4 (Matt),,,,37.0,37.0,1.3051365932854089
ButterFace #5 (Matt),,,,56.0,56.0,1.9753418709184565
Electric Lemon G,,,114.1,74.2,188.3,6.64208704096331
Filet Mignon,,,,65.0,65.0,2.2928075287446372
Foam Fire,,,546.0,645.0,1191.0,42.01128871899789
Foam Fire *(Assumed),,,154.0,127.5,281.5,9.929620297563313
GMO,,,92.0,290.5,382.5,13.492290457612672
Gorilla Butter #1 (Matt),,,,45.0,45.0,1.5873282891309026
Gorilla Butter #2 (Matt),,,,43.5,43.5,1.5344173461598725
Gorilla Butter #3 ( Matt),,36.0,,,36.0,1.269862631304722
Gorilla Glue #4,,,107.5,385.0,492.5,17.372426275488213
Gorilla Glue#4,,,115.5,47.5,163.0,5.749655802851936
Headband,,,116.0,151.0,267.0,9.418147848843356
Lemon Butter #6,,,51.2,62.0,113.2,3.9930124962137374
Lemon Butter #7,,,97.0,,97.0,3.4215743121266122
Lemon Puff,,,68.0,88.0,156.0,5.502738068987129
NYC Diesel,,97.5,152.2,110.5,360.2,12.705681105443357
NYC-D,,,147.0,355.0,502.0,17.707528914304735
Nutter Butter,,14.5,188.4,108.0,310.9,10.966674779795502
Peanut Butter Breath #1,,,58.1,272.8,330.90000000000003,11.672154019409238
Special Candy Land,23.9,8.4,19.2,43.9,95.4,3.3651359729575137
Super Secret Weapon,,,138.6,32.4,171.0,6.03184749869743
Tang Breath,,,46.2,52.0,98.2,3.4639030665034363
Tang Breathe #2,,,25.0,34.0,59.0,2.0811637568605166
Tangie,,,88.69999999999999,154.0,242.7,8.560990572712667
Truffle Butter #1 (Matt),,39.0,,,39.0,1.3756845172467822
Truffle Butter #1 FC,,,127.4,132.5,259.9,9.167702718780479
Truffle Butter #2 FC,,,113.0,72.0,185.0,6.525682966427044
Truffle Butter #3,,,82.0,56.0,138.0,4.867806753334768
Wizard Breath #1,,,36.3,73.5,109.8,3.873081025479402
Wizard Breath #2,,,24.0,156.0,180.0,6.3493131565236105
