Strain Name,House,Kev,Smitty,T Pain,Total Wt (g),Total Wt (oz)
616,,,56.0,,56.0,1.9753418709184565
Afgan,32.6,,31.0,25.0,88.6,3.1252730314888435
Big apple butter 2,,,36.0,,36.0,1.269862631304722
Blackberry,,,78.30000000000001,65.0,143.3,5.0547587518324075
Bug apple butter,,,,25.0,25.0,0.8818490495171681
Butter Face,,,,52.0,52.0,1.8342460229957096
Code Blue,,,67.0,176.8,243.8,8.599791930891424
Cookie monster,,,,42.0,42.0,1.4815064031888423
Dark helmet,,,5.7,,5.7,0.20106158328991433
Double Budder,10.3,,8.2,,18.5,0.6525682966427044
Double butter 1,,,23.7,33.3,57.0,2.0106158328991435
Double butter 2,,,19.6,20.0,39.6,1.3968488944351942
Double butter 3,,,11.1,18.5,29.6,1.0441092746283271
Double butter 5,,,30.0,26.0,56.0,1.9753418709184565
Filet mignon,,,,63.0,63.0,2.2222596047832637
Foam Fire,,,60.0,127.0,187.0,6.5962308903884175
Ghee butter 1,,,17.3,27.0,44.3,1.5626365157444218
Ghee butter 2,,,19.5,20.0,39.5,1.3933214982371256
Gorilla Glue 4,,,16.5,133.5,150.0,5.291094297103008
Grape B - down,,,22.0,30.0,52.0,1.8342460229957096
Grape Breath,14.5,,79.1,134.0,227.6,8.028353746804298
Lemon Butter,13.5,5.6,11.7,,30.8,1.0864380290051512
Lemon Puff,81.0,,63.5,,144.5,5.097087506209232
Lemon butter 1,,,53.0,,53.0,1.8695199849763964
Lemon butter 2,,,23.7,,23.7,0.8359928989422754
Lemon butter 3,,,32.8,,32.8,1.1569859529665245
Lemon butter 4,,,,40.0,40.0,1.410958479227469
Lucky Charms,,,72.9,,72.9,2.5714718283920623
Meat the Cookies 5,,,,92.0,92.0,3.245204502223179
Meat the cookies 1,,,30.0,6.0,36.0,1.269862631304722
Meat the cookies 2,,,47.8,,47.8,1.6860953826768252
Meat the cookies 3,,,,21.0,21.0,0.7407532015944212
Meat the cookies 4,,,,24.5,24.5,0.8642120685268248
NYC D,,,95.5,,95.5,3.3686633691555823
Nutter Butter,25.5,,17.4,10.0,52.9,1.8659925887783277
Nutter butter,4.0,,,,4.0,0.1410958479227469
Outdoor,,,19.0,,19.0,0.6702052776330477
PBB 1,,,128.5,185.0,313.5,11.058387080945288
PBB 3,,,14.0,198.5,212.5,7.495716920895929
Sophie,15.0,,12.9,,27.9,0.9841435392611595
Sophie breath,,,,20.5,20.5,0.7231162206040779
Special CandyLand,,,98.19999999999999,97.5,195.7,6.903114359620392
Sun tonic,,,,40.0,40.0,1.410958479227469
Sunshine Tonic,,,60.5,,60.5,2.134074699831547
Tonic of Life,,,15.0,,15.0,0.5291094297103008
Tonic of life,,,13.0,12.0,25.0,0.8818490495171681
